date	SS4	S2	S1
10.01.1966	0.13	120.0	16.0
20.01.1966	0.17	140.0	24.0
31.01.1966	0.17	140.0	24.0
10.02.1966	0.18	140.0	25.0
20.02.1966	0.18	140.0	25.0
28.02.1966	0.22	130.0	29.0
05.03.1966	0.21	130.0	27.0
10.03.1966	0.2	140.0	28.0
15.03.1966	0.24	150.0	36.0
20.03.1966	0.22	160.0	35.0
25.03.1966	0.21	160.0	34.0
31.03.1966	0.15	180.0	27.0
05.04.1966	0.14	190.0	27.0
10.04.1966	0.15	130.0	20.0
15.04.1966	0.1	200.0	20.0
20.04.1966	0.02	-999.0	-999.0
31.10.1966	0.09	120.0	11.0
10.11.1966	0.07	120.0	8.0
20.11.1966	0.1	130.0	13.0
30.11.1966	0.14	110.0	15.0
10.12.1966	0.14	110.0	15.0
20.12.1966	0.15	120.0	18.0
31.12.1966	0.15	120.0	18.0
10.01.1967	0.13	120.0	16.0
20.01.1967	0.13	120.0	16.0
31.01.1967	0.15	120.0	18.0
10.02.1967	0.14	130.0	18.0
20.02.1967	0.14	110.0	15.0
28.02.1967	0.2	150.0	30.0
05.03.1967	0.2	120.0	24.0
10.03.1967	0.2	130.0	26.0
15.03.1967	0.18	150.0	27.0
20.03.1967	0.19	150.0	29.0
25.03.1967	0.14	160.0	33.0
31.03.1967	0.13	150.0	20.0
05.04.1967	0.12	150.0	18.0
10.04.1967	0.05	210.0	11.0
31.10.1967	0.1	130.0	13.0
10.11.1967	0.15	140.0	21.0
20.11.1967	0.15	140.0	21.0
30.11.1967	0.14	140.0	20.0
10.12.1967	0.21	150.0	32.0
20.12.1967	0.29	170.0	49.0
31.12.1967	0.28	140.0	39.0
10.01.1968	0.28	140.0	39.0
20.01.1968	0.32	150.0	48.0
31.01.1968	0.27	130.0	35.0
10.02.1968	0.3	120.0	36.0
20.02.1968	0.3	120.0	36.0
29.02.1968	0.29	150.0	44.0
05.03.1968	0.32	150.0	48.0
10.03.1968	0.32	160.0	51.0
15.03.1968	0.36	160.0	58.0
20.03.1968	0.34	120.0	41.0
25.03.1968	0.28	140.0	39.0
31.03.1968	0.08	230.0	18.0
10.04.1968	0.01	-999.0	-999.0
20.11.1968	0.06	120.0	7.0
30.11.1968	0.19	110.0	21.0
10.12.1968	0.26	110.0	29.0
20.12.1968	0.24	140.0	34.0
31.12.1968	0.26	140.0	36.0
10.01.1969	0.26	120.0	31.0
20.01.1969	0.25	140.0	35.0
31.01.1969	0.22	160.0	35.0
10.02.1969	0.24	160.0	38.0
20.02.1969	0.23	140.0	32.0
28.02.1969	0.23	130.0	30.0
05.03.1969	0.23	160.0	37.0
10.03.1969	0.23	150.0	35.0
15.03.1969	0.22	170.0	37.0
20.03.1969	0.24	190.0	46.0
31.03.1969	0.19	180.0	34.0
05.04.1969	0.16	180.0	29.0
10.04.1969	0.05	220.0	11.0
30.04.1969	0.03	-999.0	-999.0
31.10.1969	0.09	180.0	16.0
10.11.1969	0.17	200.0	34.0
20.11.1969	0.25	190.0	48.0
30.11.1969	0.26	170.0	44.0
10.12.1969	0.26	180.0	47.0
20.12.1969	0.25	180.0	45.0
31.12.1969	0.26	180.0	47.0
10.01.1970	0.27	190.0	51.0
20.01.1970	0.26	190.0	49.0
31.01.1970	0.25	200.0	50.0
05.02.1970	-999.0	-999.0	0.0
10.02.1970	0.27	200.0	54.0
15.02.1970	-999.0	-999.0	0.0
20.02.1970	0.26	210.0	55.0
25.02.1970	-999.0	-999.0	0.0
28.02.1970	0.26	200.0	52.0
05.03.1970	0.26	200.0	52.0
10.03.1970	0.27	200.0	54.0
15.03.1970	0.27	220.0	59.0
20.03.1970	0.28	210.0	59.0
25.03.1970	0.29	220.0	64.0
31.03.1970	0.27	220.0	59.0
05.04.1970	0.27	220.0	59.0
10.04.1970	0.22	200.0	44.0
15.04.1970	0.12	240.0	29.0
20.04.1970	-999.0	-999.0	0.0
25.04.1970	-999.0	-999.0	0.0
30.04.1970	-999.0	-999.0	0.0
10.11.1970	0.06	110.0	7.0
20.11.1970	0.06	110.0	7.0
30.11.1970	0.08	130.0	10.0
10.12.1970	0.09	140.0	13.0
20.12.1970	0.11	150.0	17.0
31.12.1970	0.13	150.0	20.0
10.01.1971	0.12	160.0	19.0
20.01.1971	0.13	180.0	23.0
31.01.1971	0.13	180.0	23.0
10.02.1971	0.12	210.0	25.0
20.02.1971	0.13	180.0	23.0
28.02.1971	0.13	180.0	23.0
05.03.1971	0.12	210.0	25.0
10.03.1971	0.14	210.0	29.0
15.03.1971	0.12	200.0	24.0
20.03.1971	0.1	210.0	21.0
25.03.1971	0.11	200.0	22.0
31.03.1971	0.18	210.0	38.0
05.04.1971	0.18	210.0	38.0
10.04.1971	0.23	210.0	48.0
15.04.1971	0.1	230.0	23.0
10.11.1971	0.01	-999.0	-999.0
20.11.1971	0.04	-999.0	-999.0
30.11.1971	0.05	150.0	8.0
10.12.1971	0.06	180.0	11.0
20.12.1971	0.12	160.0	19.0
31.12.1971	0.12	160.0	19.0
10.01.1973	0.21	200.0	42.0
20.01.1973	0.21	200.0	42.0
31.01.1973	0.21	200.0	42.0
10.02.1973	0.22	200.0	44.0
20.02.1973	0.2	190.0	38.0
28.02.1973	0.2	200.0	40.0
05.03.1973	0.2	200.0	40.0
10.03.1973	0.21	200.0	42.0
15.03.1973	0.18	200.0	36.0
20.03.1973	0.19	200.0	38.0
25.03.1973	0.19	200.0	38.0
31.03.1973	0.21	180.0	38.0
05.04.1973	0.23	180.0	41.0
10.04.1973	0.22	200.0	44.0
15.04.1973	0.21	210.0	44.0
20.04.1973	0.22	200.0	44.0
25.04.1973	0.12	-999.0	-999.0
20.10.1973	0.06	120.0	7.0
31.10.1973	0.06	150.0	9.0
10.11.1973	0.14	170.0	24.0
20.11.1973	0.17	170.0	29.0
30.11.1973	0.21	200.0	42.0
10.12.1973	0.19	220.0	42.0
20.12.1973	0.23	200.0	46.0
