date	SS4	S2	S1
20.10.1970	0.31	130.0	40.0
20.11.1970	0.3	170.0	51.0
20.12.1970	0.34	160.0	54.0
20.01.1971	0.38	150.0	57.0
31.01.1971	0.37	150.0	56.0
05.02.1971	0.39	160.0	62.0
20.02.1971	0.39	160.0	62.0
28.02.1971	0.4	150.0	60.0
10.03.1971	0.38	160.0	61.0
20.03.1971	0.37	170.0	63.0
25.03.1971	0.39	170.0	66.0
31.03.1971	0.43	160.0	69.0
05.04.1971	0.42	170.0	71.0
10.04.1971	0.39	170.0	66.0
15.04.1971	0.41	170.0	70.0
20.04.1971	0.41	190.0	78.0
25.04.1971	0.36	220.0	79.0
30.04.1971	0.18	290.0	52.0
20.11.1971	0.14	120.0	17.0
20.12.1971	0.22	100.0	22.0
