"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMXP","PRCP"
"RSM00030859","AGINSKOE, RS","51.1","114.52","680.0","2010","2.45","15.39"
"RSM00031707","EKATERINO NIKOLSKOE, RS","47.7331","130.9667","72.0","2010","4.46","26.13"
"RSM00023472","TURUHANSK, RS","65.7831","87.9331","38.0","2010","0.83","27.19"
"RSM00028802","SERNOVODSK, RS","53.9","51.3","112.0","2010","1.06","15.22"
"RSM00031829","ZOLOTOJ, RS","47.3167","138.983","27.0","2010",,
"RSM00024688","OJMJAKON, RS","63.25","143.15","740.0","2010","0.88","9.23"
"RSM00023114","MYS KONSTANTINOVSKII, RS","68.55","55.5","5.0","2010","1.35","19.67"
"RSM00030971","ALEKSANDROVSKIJ ZAV, RS","50.917","117.933","807.0","2010",,
"RSM00030612","BALAGANSK, RS","54.0","103.07","428.0","2010","1.29","16.57"
"RSM00031702","OBLUCE, RS","49.0","131.083","257.0","2010",,
"RSM00030978","KAJLASTUJ, RS","49.833","118.383","550.0","2010",,
"RSM00031825","AGZU, RS","47.6","138.4","165.0","2010",,
"RSM00036045","SOLONESHNOE, RS","51.63","84.32","409.0","2010","1.09","24.30"
"RSM00037018","TUAPSE, RS","44.1","39.1","41.0","2010","3.67","48.67"
"RSM00022019","POLJARNOE, RS","69.2","33.4797","32.0","2010","1.48","29.21"
"RSM00024679","VOSTOCHNAJA, RS","63.22","139.6","1286.0","2010","0.76","10.59"
"RSM00027947","TAMBOV, RS","52.7331","41.4667","160.0","2010","1.44","14.46"
"RSM00027707","SUHINICI, RS","54.1","35.3164","238.0","2010","0.66","21.10"
"RSM00030627","BAJANDAJ, RS","53.1","105.53","757.0","2010","0.78","10.90"
"RSM00023463","JANOV STAN, RS","65.98","84.27","41.0","2010","0.96","18.91"
"RSM00023220","ELEZKAJA, RS","67.05","64.0697","113.0","2010","0.76","25.03"
"RSM00026976","KRASNAJA GORA, RS","53.0","31.6","148.0","2010","1.69","30.55"
"RSM00024671","TOMPO, RS","63.95","135.87","399.0","2010","1.02","12.54"
"RSM00025767","HATYRKA, RS","62.05","175.2","11.0","2010","1.40","15.17"
"RSM00027823","PAVELETZ, RS","53.7831","39.25","209.0","2010","0.95","16.75"
"RSM00023589","TUTONCHANY, RS","64.2","93.78","105.0","2010","0.79","19.39"
"RSM00023345","NYDA, RS","66.5997","72.9","5.0","2010","0.56","14.21"
"RSM00025400","ZYRJANKA, RS","65.73","150.9","41.0","2010","1.28","16.16"
"RSM00024790","SUSUMAN, RS","62.78","148.17","646.0","2010","0.85","11.19"
"RSM00030745","SOSNOVO OZERSKOE, RS","52.53","111.55","952.0","2010","1.22","11.41"
"RSM00030504","TULUN, RS","54.6","100.63","523.0","2010","2.15","21.24"
"RSM00031960","VLADIVOSTOK, RS","43.8","131.9331","187.0","2010","2.27","29.75"
"RSM00023219","HOSEDA HARD, RS","67.0831","59.3831","84.0","2010","0.81","19.33"
"RSM00022249","KANEVKA, RS","67.1297","39.67","149.0","2010","0.90","20.94"
"RSM00028900","SAMARA, RS","53.25","50.2167","136.0","2010","0.89","17.17"
"RSM00031969","POSET, RS","42.65","130.8","41.0","2010","1.91","27.44"
"RSM00023330","SALEKHARD, RS","66.5294","66.5294","15.0","2010","1.09","18.92"
"RSM00024661","SEGEN KYUEL, RS","64.0","130.3","208.0","2010","2.13","21.63"
"RSM00020069","OSTROV VIZE, RS","79.5","76.98","10.0","2010","0.26","5.95"
