date	SS4	S2	S1
31.01.1997	0.09	130.0	12.0
20.02.1997	0.12	130.0	16.0
28.02.1997	0.09	130.0	12.0
10.03.1997	0.05	180.0	9.0
15.03.1997	0.05	180.0	9.0
20.03.1997	0.02	-999.0	-999.0
20.11.1997	0.01	-999.0	-999.0
31.01.1998	0.04	-999.0	-999.0
20.02.1998	0.03	-999.0	-999.0
20.03.1998	0.1	100.0	10.0
25.03.1998	0.04	-999.0	-999.0
06.11.1998	0.04	-999.0	-999.0
20.11.1998	0.05	140.0	7.0
31.01.1999	0.08	100.0	8.0
20.02.1999	0.06	120.0	7.0
28.02.1999	0.06	120.0	7.0
20.03.1999	0.04	-999.0	-999.0
25.03.1999	0.02	-999.0	-999.0
31.03.1999	0.02	-999.0	-999.0
25.10.1999	0.04	-999.0	-999.0
31.01.2000	0.07	130.0	9.0
20.02.2000	0.07	180.0	13.0
29.02.2000	0.03	-999.0	-999.0
10.03.2000	0.01	-999.0	-999.0
16.03.2000	0.02	-999.0	-999.0
20.03.2000	0.01	-999.0	-999.0
31.12.2000	0.07	150.0	11.0
31.01.2001	0.13	140.0	18.0
20.02.2001	0.09	130.0	12.0
28.02.2001	0.09	150.0	14.0
10.03.2001	0.09	180.0	16.0
12.03.2001	0.09	180.0	16.0
15.03.2001	0.08	200.0	16.0
20.03.2001	0.07	190.0	13.0
25.03.2001	0.04	200.0	8.0
31.03.2001	0.03	-999.0	-999.0
10.04.2001	0.01	-999.0	-999.0
26.11.2001	0.0	-999.0	-999.0
20.12.2001	0.05	190.0	10.0
31.01.2002	0.08	180.0	14.0
20.02.2002	0.06	170.0	10.0
28.02.2002	0.04	170.0	7.0
20.03.2002	0.01	-999.0	-999.0
10.04.2002	0.18	250.0	45.0
15.04.2002	0.07	260.0	18.0
21.04.2002	0.07	230.0	16.0
20.11.2002	0.01	-999.0	-999.0
31.01.2003	0.05	180.0	9.0
20.02.2003	0.04	-999.0	-999.0
28.02.2003	0.06	160.0	10.0
10.03.2003	0.04	-999.0	-999.0
15.03.2003	0.01	-999.0	-999.0
31.10.2003	0.1	140.0	14.0
31.01.2004	0.16	-999.0	-999.0
20.02.2004	0.17	160.0	27.0
29.02.2004	0.18	150.0	27.0
10.03.2004	0.19	190.0	36.0
15.03.2004	0.13	190.0	25.0
20.03.2004	0.07	190.0	13.0
22.10.2004	0.0	-999.0	-999.0
20.12.2004	0.02	-999.0	-999.0
31.01.2005	0.03	-999.0	-999.0
20.02.2005	0.04	-999.0	-999.0
28.02.2005	0.02	-999.0	-999.0
24.03.2005	0.02	-999.0	-999.0
13.04.2005	0.02	-999.0	-999.0
17.04.2005	0.02	-999.0	-999.0
20.11.2005	0.08	110.0	9.0
10.03.2006	0.16	140.0	22.0
15.03.2006	0.12	170.0	20.0
20.03.2006	0.08	160.0	13.0
25.03.2006	0.09	150.0	14.0
31.03.2006	0.05	170.0	9.0
10.04.2006	0.1	110.0	11.0
15.04.2006	0.07	120.0	8.0
20.04.2006	0.01	-999.0	-999.0
