date	SS4	S2	S1
28.02.1997	0.8	180.0	144.0
20.03.1997	0.87	210.0	183.0
31.03.1997	0.88	220.0	194.0
20.04.1997	0.83	250.0	208.0
25.04.1997	0.8	260.0	208.0
30.04.1997	0.67	270.0	181.0
10.05.1997	0.67	260.0	174.0
15.05.1997	0.57	280.0	160.0
20.05.1997	0.47	280.0	132.0
25.05.1997	0.18	290.0	52.0
28.02.1998	0.71	190.0	135.0
20.03.1998	0.73	180.0	131.0
31.03.1998	0.74	180.0	133.0
20.04.1998	0.75	180.0	135.0
25.04.1998	0.76	180.0	137.0
30.04.1998	0.73	230.0	168.0
10.05.1998	0.6	230.0	138.0
15.05.1998	0.48	240.0	115.0
20.05.1998	0.26	260.0	68.0
28.02.1999	0.96	220.0	211.0
20.03.1999	1.13	210.0	237.0
31.03.1999	1.14	210.0	239.0
20.04.1999	1.15	220.0	253.0
25.04.1999	1.12	230.0	258.0
30.04.1999	1.11	230.0	255.0
10.05.1999	0.62	290.0	180.0
15.05.1999	0.44	320.0	141.0
20.05.1999	0.22	300.0	66.0
29.02.2000	0.79	190.0	150.0
20.03.2000	0.87	190.0	165.0
31.03.2000	0.86	200.0	172.0
20.04.2000	0.76	250.0	190.0
25.04.2000	0.76	260.0	198.0
30.04.2000	0.74	270.0	200.0
10.05.2000	0.34	300.0	102.0
28.02.2001	0.97	210.0	204.0
20.03.2001	1.01	200.0	202.0
31.03.2001	0.98	220.0	216.0
20.04.2001	0.98	240.0	235.0
25.04.2001	0.89	270.0	240.0
30.04.2001	0.75	290.0	218.0
10.05.2001	0.36	300.0	105.0
15.05.2001	0.24	290.0	67.0
28.02.2002	0.66	170.0	112.0
20.03.2002	0.83	190.0	158.0
31.03.2002	1.12	170.0	190.0
20.04.2002	0.92	220.0	202.0
25.04.2002	0.87	210.0	183.0
30.04.2002	0.81	220.0	178.0
10.05.2002	0.45	290.0	131.0
15.05.2002	0.26	300.0	78.0
28.02.2003	0.9	180.0	162.0
20.03.2003	1.02	180.0	184.0
31.03.2003	0.95	200.0	190.0
20.04.2003	0.91	220.0	200.0
25.04.2003	0.88	220.0	194.0
30.04.2003	0.81	210.0	170.0
10.05.2003	0.77	270.0	208.0
15.05.2003	0.73	290.0	212.0
20.05.2003	0.49	300.0	147.0
25.05.2003	0.28	310.0	78.0
29.02.2004	1.04	210.0	218.0
20.03.2004	1.13	200.0	226.0
31.03.2004	1.16	210.0	244.0
20.04.2004	1.19	210.0	250.0
25.04.2004	1.15	220.0	253.0
30.04.2004	1.07	260.0	278.0
10.05.2004	1.05	260.0	273.0
15.05.2004	0.73	290.0	212.0
20.05.2004	0.61	280.0	171.0
