date	SS4	S2	S1
31.01.1997	0.48	220.0	106.0
20.02.1997	0.45	250.0	113.0
28.02.1997	0.46	250.0	115.0
10.03.1997	0.47	250.0	118.0
15.03.1997	0.45	250.0	113.0
20.03.1997	0.39	260.0	101.0
25.03.1997	0.37	280.0	104.0
31.03.1997	0.27	350.0	95.0
10.04.1997	0.16	380.0	61.0
20.11.1997	0.09	170.0	15.0
31.01.1998	0.35	230.0	81.0
20.02.1998	0.34	230.0	78.0
28.02.1998	0.33	230.0	76.0
10.03.1998	0.32	240.0	77.0
15.03.1998	0.32	250.0	80.0
20.03.1998	0.34	250.0	85.0
25.03.1998	0.28	250.0	70.0
31.03.1998	0.24	260.0	62.0
10.04.1998	0.1	290.0	29.0
20.04.1998	0.08	110.0	9.0
31.01.1999	0.38	250.0	95.0
20.02.1999	0.45	270.0	122.0
28.02.1999	0.42	260.0	109.0
10.03.1999	0.39	260.0	101.0
15.03.1999	0.41	270.0	111.0
20.03.1999	0.41	260.0	107.0
25.03.1999	0.39	260.0	101.0
31.03.1999	0.37	260.0	96.0
10.04.1999	0.26	290.0	75.0
15.04.1999	0.17	360.0	61.0
20.04.1999	0.14	370.0	52.0
25.04.1999	0.11	370.0	41.0
25.10.1999	0.03	-999.0	-999.0
16.11.1999	0.0	-999.0	-999.0
20.11.1999	0.04	-999.0	-999.0
31.01.2000	0.35	220.0	77.0
20.02.2000	0.36	210.0	76.0
29.02.2000	0.35	220.0	77.0
10.03.2000	0.35	230.0	81.0
15.03.2000	0.33	240.0	79.0
20.03.2000	0.32	240.0	77.0
25.03.2000	0.31	270.0	84.0
31.03.2000	0.23	280.0	64.0
10.04.2000	0.21	300.0	63.0
15.04.2000	0.14	300.0	42.0
20.04.2000	0.06	300.0	18.0
31.01.2001	0.54	250.0	135.0
20.02.2001	0.52	250.0	130.0
28.02.2001	0.55	250.0	138.0
10.03.2001	0.61	250.0	153.0
15.03.2001	0.58	260.0	151.0
20.03.2001	0.55	260.0	143.0
25.03.2001	0.55	260.0	143.0
31.03.2001	0.55	270.0	149.0
10.04.2001	0.42	290.0	122.0
15.04.2001	0.32	310.0	99.0
20.04.2001	0.28	310.0	87.0
25.04.2001	0.18	310.0	56.0
30.04.2001	0.16	340.0	54.0
31.01.2002	0.3	170.0	51.0
20.02.2002	0.29	240.0	70.0
28.02.2002	0.27	290.0	78.0
10.03.2002	0.25	330.0	83.0
15.03.2002	0.18	340.0	61.0
20.03.2002	0.26	300.0	78.0
25.03.2002	0.2	330.0	66.0
31.03.2002	0.16	300.0	48.0
10.04.2002	0.28	230.0	64.0
15.04.2002	0.14	260.0	36.0
20.04.2002	0.11	230.0	25.0
25.04.2002	0.07	370.0	26.0
31.01.2003	0.37	240.0	89.0
20.02.2003	0.38	220.0	84.0
28.02.2003	0.4	220.0	88.0
10.03.2003	0.37	220.0	81.0
15.03.2003	0.37	220.0	81.0
20.03.2003	0.37	240.0	89.0
25.03.2003	0.27	250.0	68.0
31.03.2003	0.23	270.0	62.0
14.04.2003	0.09	-999.0	-999.0
17.04.2003	0.04	-999.0	-999.0
29.04.2003	0.01	-999.0	-999.0
26.10.2003	0.01	-999.0	-999.0
31.10.2003	0.04	-999.0	-999.0
31.01.2004	0.34	200.0	68.0
20.02.2004	0.37	210.0	78.0
29.02.2004	0.35	210.0	74.0
10.03.2004	0.4	210.0	84.0
15.03.2004	0.39	210.0	82.0
20.03.2004	0.36	210.0	76.0
25.03.2004	0.33	250.0	83.0
31.03.2004	0.42	240.0	101.0
10.04.2004	0.24	290.0	70.0
15.04.2004	0.25	280.0	70.0
20.04.2004	0.15	330.0	50.0
22.10.2004	0.0	-999.0	-999.0
31.01.2005	0.35	200.0	70.0
20.02.2005	0.35	-999.0	-999.0
28.02.2005	0.34	210.0	71.0
10.03.2005	0.34	220.0	75.0
15.03.2005	0.33	230.0	76.0
20.03.2005	0.29	230.0	67.0
25.03.2005	0.26	260.0	68.0
31.03.2005	0.17	280.0	48.0
10.04.2005	0.17	280.0	48.0
15.04.2005	0.08	360.0	29.0
20.04.2005	0.07	360.0	25.0
05.11.2005	0.06	110.0	7.0
20.11.2005	0.14	160.0	22.0
10.03.2006	0.57	310.0	177.0
15.03.2006	0.53	310.0	164.0
20.03.2006	0.51	320.0	163.0
25.03.2006	0.5	320.0	160.0
31.03.2006	0.49	320.0	157.0
10.04.2006	0.49	340.0	167.0
15.04.2006	0.45	350.0	158.0
20.04.2006	0.38	350.0	133.0
25.04.2006	0.34	370.0	126.0
30.04.2006	0.21	370.0	78.0
23.05.2006	0.14	110.0	15.0
