date	T0.00	T0.05	T0.10	T1.20	T1.60	T2.40	T3.20
01.01.1977	-999.0	-999.0	-999.0	1.2	2.7	4.8	-999.0
02.01.1977	-999.0	-999.0	-999.0	1.2	2.7	4.8	-999.0
03.01.1977	-999.0	-999.0	-999.0	1.2	2.6	4.7	-999.0
04.01.1977	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
05.01.1977	-999.0	-999.0	-999.0	1.1	2.6	4.6	-999.0
06.01.1977	-999.0	-999.0	-999.0	1.1	2.5	4.6	-999.0
07.01.1977	-999.0	-999.0	-999.0	1.1	2.4	4.5	-999.0
08.01.1977	-999.0	-999.0	-999.0	1.1	2.4	4.4	-999.0
09.01.1977	-999.0	-999.0	-999.0	1.0	2.3	4.4	-999.0
10.01.1977	-999.0	-999.0	-999.0	1.0	2.3	4.3	-999.0
11.01.1977	-999.0	-999.0	-999.0	1.0	2.3	4.2	-999.0
12.01.1977	-999.0	-999.0	-999.0	1.0	2.2	4.2	-999.0
13.01.1977	-999.0	-999.0	-999.0	0.9	2.3	4.2	-999.0
14.01.1977	-999.0	-999.0	-999.0	0.9	2.2	4.2	-999.0
15.01.1977	-999.0	-999.0	-999.0	0.9	2.2	4.2	-999.0
16.01.1977	-999.0	-999.0	-999.0	0.9	2.1	4.1	-999.0
17.01.1977	-999.0	-999.0	-999.0	0.8	2.1	4.0	-999.0
18.01.1977	-999.0	-999.0	-999.0	0.8	2.1	4.0	-999.0
19.01.1977	-999.0	-999.0	-999.0	0.7	2.0	4.0	-999.0
20.01.1977	-999.0	-999.0	-999.0	0.7	2.0	4.0	-999.0
21.01.1977	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
22.01.1977	-999.0	-999.0	-999.0	0.7	2.0	4.0	-999.0
23.01.1977	-999.0	-999.0	-999.0	0.7	2.0	4.0	-999.0
24.01.1977	-999.0	-999.0	-999.0	0.6	1.8	3.8	-999.0
25.01.1977	-999.0	-999.0	-999.0	0.6	1.8	3.8	-999.0
26.01.1977	-999.0	-999.0	-999.0	0.6	1.8	3.8	-999.0
27.01.1977	-999.0	-999.0	-999.0	0.5	1.8	3.8	-999.0
28.01.1977	-999.0	-999.0	-999.0	0.5	1.7	3.7	-999.0
29.01.1977	-999.0	-999.0	-999.0	0.3	1.6	3.7	-999.0
30.01.1977	-999.0	-999.0	-999.0	0.2	1.5	3.6	-999.0
31.01.1977	-999.0	-999.0	-999.0	0.2	1.5	3.6	-999.0
01.02.1977	-999.0	-999.0	-999.0	0.2	1.5	3.6	-999.0
02.02.1977	-999.0	-999.0	-999.0	0.2	1.5	3.6	-999.0
03.02.1977	-999.0	-999.0	-999.0	0.1	1.5	3.6	-999.0
04.02.1977	-999.0	-999.0	-999.0	0.0	1.4	3.6	-999.0
05.02.1977	-999.0	-999.0	-999.0	0.0	1.4	3.6	-999.0
06.02.1977	-999.0	-999.0	-999.0	-0.1	1.3	3.5	-999.0
07.02.1977	-999.0	-999.0	-999.0	-0.1	1.3	3.5	-999.0
08.02.1977	-999.0	-999.0	-999.0	-0.1	1.3	3.5	-999.0
09.02.1977	-999.0	-999.0	-999.0	-0.2	1.2	3.4	-999.0
10.02.1977	-999.0	-999.0	-999.0	-0.2	1.2	3.2	-999.0
11.02.1977	-999.0	-999.0	-999.0	-0.2	1.2	3.2	-999.0
12.02.1977	-999.0	-999.0	-999.0	-0.4	1.1	3.2	-999.0
13.02.1977	-999.0	-999.0	-999.0	-0.4	1.1	3.2	-999.0
14.02.1977	-999.0	-999.0	-999.0	-0.4	1.0	3.2	-999.0
15.02.1977	-999.0	-999.0	-999.0	-0.4	1.0	3.2	-999.0
16.02.1977	-999.0	-999.0	-999.0	-0.4	1.0	3.2	-999.0
17.02.1977	-999.0	-999.0	-999.0	-0.4	1.0	3.2	-999.0
18.02.1977	-999.0	-999.0	-999.0	-0.6	0.9	3.0	-999.0
19.02.1977	-999.0	-999.0	-999.0	-0.6	0.9	3.0	-999.0
20.02.1977	-999.0	-999.0	-999.0	-0.7	0.8	3.0	-999.0
21.02.1977	-999.0	-999.0	-999.0	-0.7	0.8	3.0	-999.0
22.02.1977	-999.0	-999.0	-999.0	-0.8	0.8	3.0	-999.0
23.02.1977	-999.0	-999.0	-999.0	-0.8	0.8	3.0	-999.0
24.02.1977	-999.0	-999.0	-999.0	-0.8	0.8	2.9	-999.0
25.02.1977	-999.0	-999.0	-999.0	-0.7	0.7	2.8	-999.0
26.02.1977	-999.0	-999.0	-999.0	-0.8	0.6	2.8	-999.0
27.02.1977	-999.0	-999.0	-999.0	-0.8	0.6	2.8	-999.0
28.02.1977	-999.0	-999.0	-999.0	-0.8	0.6	2.8	-999.0
NaT	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
NaT	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
NaT	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
01.03.1977	-999.0	-999.0	-999.0	-0.8	0.6	2.7	-999.0
02.03.1977	-999.0	-999.0	-999.0	-0.8	0.6	2.7	-999.0
03.03.1977	-999.0	-999.0	-999.0	-0.8	0.6	2.7	-999.0
04.03.1977	-999.0	-999.0	-999.0	-0.8	0.6	2.7	-999.0
05.03.1977	-999.0	-999.0	-999.0	-0.8	-0.6	2.7	-999.0
06.03.1977	-999.0	-999.0	-999.0	-0.8	0.5	2.6	-999.0
07.03.1977	-999.0	-999.0	-999.0	-0.9	0.5	2.6	-999.0
08.03.1977	-999.0	-999.0	-999.0	-0.8	0.5	2.6	-999.0
09.03.1977	-999.0	-999.0	-999.0	-0.9	0.5	2.6	-999.0
10.03.1977	-999.0	-999.0	-999.0	-0.8	0.5	2.6	-999.0
11.03.1977	-999.0	-999.0	-999.0	-0.8	0.5	2.6	-999.0
12.03.1977	-999.0	-999.0	-999.0	-0.7	0.5	2.5	-999.0
13.03.1977	-999.0	-999.0	-999.0	-0.6	0.5	2.5	-999.0
14.03.1977	-999.0	-999.0	-999.0	-0.6	0.5	2.5	-999.0
15.03.1977	-999.0	-999.0	-999.0	-0.5	0.5	2.5	-999.0
16.03.1977	-999.0	-999.0	-999.0	-0.4	0.5	2.5	-999.0
17.03.1977	-999.0	-999.0	-999.0	-0.4	0.5	2.5	-999.0
18.03.1977	-999.0	-999.0	-999.0	-0.4	0.5	2.5	-999.0
19.03.1977	-999.0	-999.0	-999.0	-0.4	0.5	2.5	-999.0
20.03.1977	-999.0	-999.0	-999.0	-0.4	0.5	2.4	-999.0
21.03.1977	-999.0	-999.0	-999.0	-0.2	0.6	2.4	-999.0
22.03.1977	-999.0	-999.0	-999.0	-0.2	0.6	2.4	-999.0
23.03.1977	-999.0	-999.0	-999.0	-0.2	0.6	2.4	-999.0
24.03.1977	-999.0	-999.0	-999.0	-0.2	0.6	2.4	-999.0
25.03.1977	-999.0	-999.0	-999.0	-0.2	0.6	2.5	-999.0
26.03.1977	-999.0	-999.0	-999.0	-0.1	0.7	2.4	-999.0
27.03.1977	-999.0	-999.0	-999.0	-0.1	0.7	2.4	-999.0
28.03.1977	-999.0	-999.0	-999.0	0.0	0.7	2.4	-999.0
29.03.1977	-999.0	-999.0	-999.0	0.0	0.8	2.4	-999.0
30.03.1977	-999.0	-999.0	-999.0	0.0	0.8	2.4	-999.0
31.03.1977	-999.0	-999.0	-999.0	0.0	0.8	2.4	-999.0
01.04.1977	-999.0	-999.0	-999.0	0.0	0.8	2.4	-999.0
02.04.1977	-999.0	-999.0	-999.0	0.1	0.8	2.4	-999.0
03.04.1977	-999.0	-999.0	-999.0	0.2	0.8	2.5	-999.0
04.04.1977	-999.0	-999.0	-999.0	0.2	0.9	2.5	-999.0
05.04.1977	-999.0	-999.0	-999.0	0.2	0.8	2.4	-999.0
06.04.1977	-999.0	-999.0	-999.0	0.2	0.8	2.4	-999.0
07.04.1977	-999.0	-999.0	-999.0	0.2	0.7	2.2	-999.0
08.04.1977	-999.0	-999.0	-999.0	0.2	0.7	2.3	-999.0
09.04.1977	-999.0	-999.0	-999.0	0.2	0.8	2.3	-999.0
10.04.1977	-999.0	-999.0	-999.0	0.2	0.9	2.3	-999.0
11.04.1977	-999.0	-999.0	-999.0	0.3	1.0	2.4	-999.0
12.04.1977	-999.0	-999.0	-999.0	0.3	1.0	2.4	-999.0
13.04.1977	-999.0	-999.0	-999.0	0.4	0.9	2.4	-999.0
14.04.1977	-999.0	-999.0	-999.0	0.3	1.0	2.3	-999.0
15.04.1977	-999.0	-999.0	-999.0	0.4	1.0	2.3	-999.0
16.04.1977	-999.0	-999.0	-999.0	0.3	0.9	2.3	-999.0
17.04.1977	-999.0	-999.0	-999.0	0.4	1.0	2.3	-999.0
18.04.1977	-999.0	-999.0	-999.0	0.3	1.0	2.3	-999.0
19.04.1977	-999.0	-999.0	-999.0	0.4	1.0	2.4	-999.0
20.04.1977	-999.0	-999.0	-999.0	0.3	0.9	2.3	-999.0
21.04.1977	-999.0	-999.0	-999.0	0.4	1.0	2.3	-999.0
22.04.1977	-999.0	-999.0	-999.0	0.4	1.0	2.3	-999.0
23.04.1977	-999.0	-999.0	-999.0	0.4	1.0	2.4	-999.0
24.04.1977	-999.0	-999.0	-999.0	0.5	1.0	2.4	-999.0
25.04.1977	-999.0	-999.0	-999.0	0.4	1.0	2.4	-999.0
26.04.1977	-999.0	-999.0	-999.0	0.4	1.0	2.4	-999.0
27.04.1977	-999.0	-999.0	-999.0	0.5	1.0	2.5	-999.0
28.04.1977	-999.0	-999.0	-999.0	0.5	1.1	2.5	-999.0
29.04.1977	-999.0	-999.0	-999.0	0.6	1.2	2.5	-999.0
30.04.1977	-999.0	-999.0	-999.0	0.7	1.3	2.5	-999.0
NaT	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
01.05.1977	-999.0	-999.0	-999.0	0.9	1.2	2.6	-999.0
02.05.1977	-999.0	-999.0	-999.0	0.9	1.2	2.6	-999.0
03.05.1977	-999.0	-999.0	-999.0	1.0	1.2	2.6	-999.0
04.05.1977	-999.0	-999.0	-999.0	1.4	1.4	2.6	-999.0
05.05.1977	-999.0	-999.0	-999.0	1.6	1.6	2.7	-999.0
06.05.1977	-999.0	-999.0	-999.0	1.8	1.7	2.7	-999.0
07.05.1977	-999.0	-999.0	-999.0	2.2	1.8	2.8	-999.0
08.05.1977	-999.0	-999.0	-999.0	2.5	2.1	2.8	-999.0
09.05.1977	-999.0	-999.0	-999.0	2.8	2.2	2.9	-999.0
10.05.1977	-999.0	-999.0	-999.0	3.1	2.5	3.1	-999.0
11.05.1977	-999.0	-999.0	-999.0	3.5	2.8	3.1	-999.0
12.05.1977	-999.0	-999.0	-999.0	3.6	2.9	3.1	-999.0
13.05.1977	-999.0	-999.0	-999.0	4.2	3.3	3.2	-999.0
14.05.1977	-999.0	-999.0	-999.0	4.7	3.5	3.2	-999.0
15.05.1977	-999.0	-999.0	-999.0	4.8	3.5	3.4	-999.0
16.05.1977	-999.0	-999.0	-999.0	4.2	3.6	3.4	-999.0
17.05.1977	-999.0	-999.0	-999.0	4.6	4.0	3.6	-999.0
18.05.1977	-999.0	-999.0	-999.0	4.7	4.2	3.9	-999.0
19.05.1977	-999.0	-999.0	-999.0	4.8	4.3	4.0	-999.0
20.05.1977	-999.0	-999.0	-999.0	5.2	5.1	4.2	-999.0
21.05.1977	-999.0	-999.0	-999.0	5.2	5.0	4.5	-999.0
22.05.1977	-999.0	-999.0	-999.0	5.4	5.0	4.6	-999.0
23.05.1977	-999.0	-999.0	-999.0	5.4	5.1	4.6	-999.0
24.05.1977	-999.0	-999.0	-999.0	5.9	5.1	4.8	-999.0
25.05.1977	-999.0	-999.0	-999.0	6.5	5.0	4.8	-999.0
26.05.1977	-999.0	-999.0	-999.0	6.8	5.5	5.0	-999.0
27.05.1977	-999.0	-999.0	-999.0	6.8	5.5	5.1	-999.0
28.05.1977	-999.0	-999.0	-999.0	7.4	6.0	5.1	-999.0
29.05.1977	-999.0	-999.0	-999.0	7.7	6.3	5.2	-999.0
30.05.1977	-999.0	-999.0	-999.0	8.2	6.7	5.4	-999.0
31.05.1977	-999.0	-999.0	-999.0	8.2	6.7	5.4	-999.0
01.06.1977	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
02.06.1977	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
03.06.1977	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
04.06.1977	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
05.06.1977	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
