date	SS4	S2	S1
20.12.1975	0.15	140.0	21.0
31.12.1975	-999.0	-999.0	0.0
20.01.1976	0.27	160.0	43.0
31.01.1976	0.29	140.0	41.0
10.02.1976	0.38	160.0	61.0
15.02.1976	-999.0	-999.0	0.0
20.02.1976	0.41	160.0	66.0
25.02.1976	-999.0	-999.0	0.0
28.02.1976	0.39	160.0	62.0
10.03.1976	0.49	160.0	78.0
15.03.1976	-999.0	-999.0	0.0
20.03.1976	0.46	170.0	78.0
25.03.1976	0.42	210.0	88.0
31.03.1976	0.38	210.0	80.0
10.04.1976	0.34	240.0	82.0
15.04.1976	0.42	230.0	97.0
20.04.1976	0.41	200.0	82.0
25.04.1976	0.44	230.0	101.0
30.04.1976	0.47	220.0	103.0
20.11.1976	0.26	170.0	44.0
NaT	0.26	170.0	44.0
20.12.1976	0.32	150.0	48.0
31.12.1976	0.36	150.0	54.0
